type,layer,text,x,y,rotation,height
MTEXT,0,{\Fisocp|c0;01},738743.5321996763,68681.27540811739,0.0,
MTEXT,0,{\Fisocp|c0;POWER TRACK},735481.7127074938,68681.27540811879,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788797999,68681.27540811761,0.0,
MTEXT,0,{\Fisocp|c0;130%%D},738343.0205145087,68681.27540811786,0.0,
MTEXT,0,13,734843.1295113668,68174.54743103775,0.0,
MTEXT,0,{\Fisocp|c0;HORIZONTAL BEND},736782.502547121,68174.54743103914,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287793,68174.54743103914,0.0,
MTEXT,0,{\Fisocp|c0;01},738743.5321996763,68174.54743103914,0.0,
MTEXT,0,{\Fisocp|c0;POWER TRACK},735481.7127074938,68174.54743104054,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788797999,68174.54743103936,0.0,
MTEXT,0,{\Fisocp|c0;45%%D},738343.0205145087,68174.54743103961,0.0,
MTEXT,0,12,734843.1295113668,68343.45675673043,0.0,
MTEXT,0,{\Fisocp|c0;HORIZONTAL BEND},736782.502547121,68343.45675673183,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287793,68343.45675673183,0.0,
MTEXT,0,{\Fisocp|c0;02},738743.5321996763,68343.45675673183,0.0,
MTEXT,0,{\Fisocp|c0;POWER TRACK},735481.7127074938,68343.45675673323,0.0,
MTEXT,0,{\Fisocp|c0;R-1000},737888.7788797999,68343.45675673205,0.0,
MTEXT,0,{\Fisocp|c0;11%%D},738343.0205145087,68343.4567567323,0.0,
MTEXT,0,14,734843.1295113667,68005.63810534506,0.0,
MTEXT,0,{\Fisocp|c0;VERTICAL BEND},736713.116545615,68005.63810534646,0.0,
MTEXT,0,{\Fisocp|c0;-},737461.0199287792,68005.63810534646,0.0,
MTEXT,0,{\Fisocp|c0;12},738743.5321996761,68005.63810534646,0.0,
MTEXT,0,{\Fisocp|c0;POWER TRACK},735481.7127074937,68005.63810534785,0.0,
